zpid,address,city,state,zip,sqft,baths,beds,lat,lng,rent,zrent,url,description,days_on_zillow,contacts
2053698203,"Redwood Delta Township Willow Highway, 7877 Celosia Dr #7812P, Lansing, MI 48917",Lansing,MI,48917,1317,2,2,42.755024,-84.66634,1999,2298,https://www.zillow.com/apartments/lansing-mi/redwood-delta-township-willow-highway/CHZGPc/,"Redwood Delta Township Willow Highway is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly apartment rental home with an attached garage. Enjoy being surrounded by charming greenery, with all the amenities you could need just a stones throw away. Plus, you can get to the arts, entertainment, dining and attractions of Lansing in 15 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly.",11,
2055085814,"Redwood Portage, 1201 Snowapple Ave #7770H, Portage, MI 49002",Portage,MI,49002,1343,2,2,42.204433,-85.57468,1899,2148,https://www.zillow.com/apartments/portage-mi/redwood-portage/CHGc8N/,"Redwood Portage is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly apartment rental home with an attached garage. Enjoy being surrounded by charming greenery, with all the amenities you could need just a stones throw away. Plus, you can get to the arts, entertainment, dining and attractions of Kalamazoo in under 30 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly. Won't you join us?",2,
